嚴重性	程式碼	說明	專案	檔案	行	歸併狀態
錯誤 (作用中)	CS0246	找不到類型或命名空間名稱 'NotifyCanExecuteChangedFor' (是否遺漏了 using 指示詞或組件參考?)	AnimeFolderOrganizer	F:\Android\WPF\AnimeFolderOrganizer\ViewModels\MainViewModel.cs	126	
錯誤 (作用中)	CS0103	名稱 'RestoreHistoryCommand' 不存在於目前的內容中	AnimeFolderOrganizer	F:\Android\WPF\AnimeFolderOrganizer\ViewModels\MainViewModel.cs	126	
錯誤 (作用中)	CS0246	找不到類型或命名空間名稱 'ObservablePropertyAttribute' (是否遺漏了 using 指示詞或組件參考?)	AnimeFolderOrganizer	F:\Android\WPF\AnimeFolderOrganizer\ViewModels\MainViewModel.cs	130	
錯誤 (作用中)	CS0246	找不到類型或命名空間名稱 'ObservableProperty' (是否遺漏了 using 指示詞或組件參考?)	AnimeFolderOrganizer	F:\Android\WPF\AnimeFolderOrganizer\ViewModels\MainViewModel.cs	130	
錯誤 (作用中)	CS0246	找不到類型或命名空間名稱 'ObservablePropertyAttribute' (是否遺漏了 using 指示詞或組件參考?)	AnimeFolderOrganizer	F:\Android\WPF\AnimeFolderOrganizer\ViewModels\MainViewModel.cs	133	
錯誤 (作用中)	CS0246	找不到類型或命名空間名稱 'ObservableProperty' (是否遺漏了 using 指示詞或組件參考?)	AnimeFolderOrganizer	F:\Android\WPF\AnimeFolderOrganizer\ViewModels\MainViewModel.cs	133	
錯誤 (作用中)	CS0246	找不到類型或命名空間名稱 'RelayCommandAttribute' (是否遺漏了 using 指示詞或組件參考?)	AnimeFolderOrganizer	F:\Android\WPF\AnimeFolderOrganizer\ViewModels\MainViewModel.cs	141	
錯誤 (作用中)	CS0246	找不到類型或命名空間名稱 'RelayCommand' (是否遺漏了 using 指示詞或組件參考?)	AnimeFolderOrganizer	F:\Android\WPF\AnimeFolderOrganizer\ViewModels\MainViewModel.cs	141	
錯誤 (作用中)	CS0103	名稱 'TargetDirectory' 不存在於目前的內容中	AnimeFolderOrganizer	F:\Android\WPF\AnimeFolderOrganizer\ViewModels\MainViewModel.cs	147	
錯誤 (作用中)	CS0246	找不到類型或命名空間名稱 'RelayCommandAttribute' (是否遺漏了 using 指示詞或組件參考?)	AnimeFolderOrganizer	F:\Android\WPF\AnimeFolderOrganizer\ViewModels\MainViewModel.cs	152	
錯誤 (作用中)	CS0246	找不到類型或命名空間名稱 'RelayCommand' (是否遺漏了 using 指示詞或組件參考?)	AnimeFolderOrganizer	F:\Android\WPF\AnimeFolderOrganizer\ViewModels\MainViewModel.cs	152	
錯誤 (作用中)	CS1061	'IServiceProvider' 未包含 'GetRequiredService' 的定義，也找不到可接受類型 'IServiceProvider' 第一個引數的可存取擴充方法 'GetRequiredService' (是否遺漏 using 指示詞或組件參考?)	AnimeFolderOrganizer	F:\Android\WPF\AnimeFolderOrganizer\ViewModels\MainViewModel.cs	155	
錯誤 (作用中)	CS0103	名稱 'PreferredLanguage' 不存在於目前的內容中	AnimeFolderOrganizer	F:\Android\WPF\AnimeFolderOrganizer\ViewModels\MainViewModel.cs	159	
錯誤 (作用中)	CS0103	名稱 'NamingFormat' 不存在於目前的內容中	AnimeFolderOrganizer	F:\Android\WPF\AnimeFolderOrganizer\ViewModels\MainViewModel.cs	160	
錯誤 (作用中)	CS0103	名稱 'ModelName' 不存在於目前的內容中	AnimeFolderOrganizer	F:\Android\WPF\AnimeFolderOrganizer\ViewModels\MainViewModel.cs	161	
錯誤 (作用中)	CS0118	'ApiProvider' 是 類型，但卻當成 變數 使用	AnimeFolderOrganizer	F:\Android\WPF\AnimeFolderOrganizer\ViewModels\MainViewModel.cs	162	
錯誤 (作用中)	CS0119	'ApiProvider' 是 類型，其在指定內容中無效	AnimeFolderOrganizer	F:\Android\WPF\AnimeFolderOrganizer\ViewModels\MainViewModel.cs	163	
錯誤 (作用中)	CS0246	找不到類型或命名空間名稱 'RelayCommandAttribute' (是否遺漏了 using 指示詞或組件參考?)	AnimeFolderOrganizer	F:\Android\WPF\AnimeFolderOrganizer\ViewModels\MainViewModel.cs	166	
錯誤 (作用中)	CS0246	找不到類型或命名空間名稱 'RelayCommand' (是否遺漏了 using 指示詞或組件參考?)	AnimeFolderOrganizer	F:\Android\WPF\AnimeFolderOrganizer\ViewModels\MainViewModel.cs	166	
錯誤 (作用中)	CS0119	'ApiProvider' 是 類型，其在指定內容中無效	AnimeFolderOrganizer	F:\Android\WPF\AnimeFolderOrganizer\ViewModels\MainViewModel.cs	169	
錯誤 (作用中)	CS0119	'ApiProvider' 是 類型，其在指定內容中無效	AnimeFolderOrganizer	F:\Android\WPF\AnimeFolderOrganizer\ViewModels\MainViewModel.cs	170	
錯誤 (作用中)	CS0103	名稱 'ModelName' 不存在於目前的內容中	AnimeFolderOrganizer	F:\Android\WPF\AnimeFolderOrganizer\ViewModels\MainViewModel.cs	175	
錯誤 (作用中)	CS0246	找不到類型或命名空間名稱 'RelayCommandAttribute' (是否遺漏了 using 指示詞或組件參考?)	AnimeFolderOrganizer	F:\Android\WPF\AnimeFolderOrganizer\ViewModels\MainViewModel.cs	182	
錯誤 (作用中)	CS0246	找不到類型或命名空間名稱 'RelayCommand' (是否遺漏了 using 指示詞或組件參考?)	AnimeFolderOrganizer	F:\Android\WPF\AnimeFolderOrganizer\ViewModels\MainViewModel.cs	182	
錯誤 (作用中)	CS0103	名稱 'RestoreSelectedCommand' 不存在於目前的內容中	AnimeFolderOrganizer	F:\Android\WPF\AnimeFolderOrganizer\ViewModels\MainViewModel.cs	196	
錯誤 (作用中)	CS0246	找不到類型或命名空間名稱 'RelayCommandAttribute' (是否遺漏了 using 指示詞或組件參考?)	AnimeFolderOrganizer	F:\Android\WPF\AnimeFolderOrganizer\ViewModels\MainViewModel.cs	204	
錯誤 (作用中)	CS0246	找不到類型或命名空間名稱 'RelayCommand' (是否遺漏了 using 指示詞或組件參考?)	AnimeFolderOrganizer	F:\Android\WPF\AnimeFolderOrganizer\ViewModels\MainViewModel.cs	204	
錯誤 (作用中)	CS0103	名稱 'SelectedHistoryItem' 不存在於目前的內容中	AnimeFolderOrganizer	F:\Android\WPF\AnimeFolderOrganizer\ViewModels\MainViewModel.cs	207	
錯誤 (作用中)	CS0103	名稱 'IsBusy' 不存在於目前的內容中	AnimeFolderOrganizer	F:\Android\WPF\AnimeFolderOrganizer\ViewModels\MainViewModel.cs	211	
錯誤 (作用中)	CS0103	名稱 'RenameStatusMessage' 不存在於目前的內容中	AnimeFolderOrganizer	F:\Android\WPF\AnimeFolderOrganizer\ViewModels\MainViewModel.cs	212	
錯誤 (作用中)	CS0103	名稱 'SelectedHistoryItem' 不存在於目前的內容中	AnimeFolderOrganizer	F:\Android\WPF\AnimeFolderOrganizer\ViewModels\MainViewModel.cs	213	
錯誤 (作用中)	CS0103	名稱 'RenameStatusMessage' 不存在於目前的內容中	AnimeFolderOrganizer	F:\Android\WPF\AnimeFolderOrganizer\ViewModels\MainViewModel.cs	214	
錯誤 (作用中)	CS0103	名稱 'SelectedHistoryItem' 不存在於目前的內容中	AnimeFolderOrganizer	F:\Android\WPF\AnimeFolderOrganizer\ViewModels\MainViewModel.cs	218	
錯誤 (作用中)	CS0103	名稱 'SelectedHistoryItem' 不存在於目前的內容中	AnimeFolderOrganizer	F:\Android\WPF\AnimeFolderOrganizer\ViewModels\MainViewModel.cs	221	
錯誤 (作用中)	CS0103	名稱 'SelectedHistoryItem' 不存在於目前的內容中	AnimeFolderOrganizer	F:\Android\WPF\AnimeFolderOrganizer\ViewModels\MainViewModel.cs	222	
錯誤 (作用中)	CS0103	名稱 'StatusMessage' 不存在於目前的內容中	AnimeFolderOrganizer	F:\Android\WPF\AnimeFolderOrganizer\ViewModels\MainViewModel.cs	226	
錯誤 (作用中)	CS0103	名稱 'IsBusy' 不存在於目前的內容中	AnimeFolderOrganizer	F:\Android\WPF\AnimeFolderOrganizer\ViewModels\MainViewModel.cs	230	
錯誤 (作用中)	CS0246	找不到類型或命名空間名稱 'RelayCommandAttribute' (是否遺漏了 using 指示詞或組件參考?)	AnimeFolderOrganizer	F:\Android\WPF\AnimeFolderOrganizer\ViewModels\MainViewModel.cs	234	
錯誤 (作用中)	CS0246	找不到類型或命名空間名稱 'RelayCommand' (是否遺漏了 using 指示詞或組件參考?)	AnimeFolderOrganizer	F:\Android\WPF\AnimeFolderOrganizer\ViewModels\MainViewModel.cs	234	
錯誤 (作用中)	CS1061	'HistoryItemViewModel' 未包含 'IsSelected' 的定義，也找不到可接受類型 'HistoryItemViewModel' 第一個引數的可存取擴充方法 'IsSelected' (是否遺漏 using 指示詞或組件參考?)	AnimeFolderOrganizer	F:\Android\WPF\AnimeFolderOrganizer\ViewModels\MainViewModel.cs	237	
錯誤 (作用中)	CS0103	名稱 'IsBusy' 不存在於目前的內容中	AnimeFolderOrganizer	F:\Android\WPF\AnimeFolderOrganizer\ViewModels\MainViewModel.cs	242	
錯誤 (作用中)	CS0103	名稱 'RenameStatusMessage' 不存在於目前的內容中	AnimeFolderOrganizer	F:\Android\WPF\AnimeFolderOrganizer\ViewModels\MainViewModel.cs	243	
錯誤 (作用中)	CS0103	名稱 'RenameStatusMessage' 不存在於目前的內容中	AnimeFolderOrganizer	F:\Android\WPF\AnimeFolderOrganizer\ViewModels\MainViewModel.cs	251	
錯誤 (作用中)	CS0103	名稱 'IsBusy' 不存在於目前的內容中	AnimeFolderOrganizer	F:\Android\WPF\AnimeFolderOrganizer\ViewModels\MainViewModel.cs	255	
錯誤 (作用中)	CS0246	找不到類型或命名空間名稱 'RelayCommandAttribute' (是否遺漏了 using 指示詞或組件參考?)	AnimeFolderOrganizer	F:\Android\WPF\AnimeFolderOrganizer\ViewModels\MainViewModel.cs	267	
錯誤 (作用中)	CS0246	找不到類型或命名空間名稱 'RelayCommand' (是否遺漏了 using 指示詞或組件參考?)	AnimeFolderOrganizer	F:\Android\WPF\AnimeFolderOrganizer\ViewModels\MainViewModel.cs	267	
錯誤 (作用中)	CS0103	名稱 'TargetDirectory' 不存在於目前的內容中	AnimeFolderOrganizer	F:\Android\WPF\AnimeFolderOrganizer\ViewModels\MainViewModel.cs	270	
錯誤 (作用中)	CS0103	名稱 'TargetDirectory' 不存在於目前的內容中	AnimeFolderOrganizer	F:\Android\WPF\AnimeFolderOrganizer\ViewModels\MainViewModel.cs	270	
錯誤 (作用中)	CS0103	名稱 'StatusMessage' 不存在於目前的內容中	AnimeFolderOrganizer	F:\Android\WPF\AnimeFolderOrganizer\ViewModels\MainViewModel.cs	272	
錯誤 (作用中)	CS0103	名稱 'IsBusy' 不存在於目前的內容中	AnimeFolderOrganizer	F:\Android\WPF\AnimeFolderOrganizer\ViewModels\MainViewModel.cs	278	
錯誤 (作用中)	CS0103	名稱 'StatusMessage' 不存在於目前的內容中	AnimeFolderOrganizer	F:\Android\WPF\AnimeFolderOrganizer\ViewModels\MainViewModel.cs	279	
錯誤 (作用中)	CS0103	名稱 'TargetDirectory' 不存在於目前的內容中	AnimeFolderOrganizer	F:\Android\WPF\AnimeFolderOrganizer\ViewModels\MainViewModel.cs	281	
錯誤 (作用中)	CS0103	名稱 'TargetDirectory' 不存在於目前的內容中	AnimeFolderOrganizer	F:\Android\WPF\AnimeFolderOrganizer\ViewModels\MainViewModel.cs	286	
錯誤 (作用中)	CS0103	名稱 'ScanProgressText' 不存在於目前的內容中	AnimeFolderOrganizer	F:\Android\WPF\AnimeFolderOrganizer\ViewModels\MainViewModel.cs	295	
錯誤 (作用中)	CS0103	名稱 'NamingFormat' 不存在於目前的內容中	AnimeFolderOrganizer	F:\Android\WPF\AnimeFolderOrganizer\ViewModels\MainViewModel.cs	300	
錯誤 (作用中)	CS0117	'AnimeFolderInfo' 未包含 'NamingFormat' 的定義	AnimeFolderOrganizer	F:\Android\WPF\AnimeFolderOrganizer\ViewModels\MainViewModel.cs	304	
錯誤 (作用中)	CS0103	名稱 'NamingFormat' 不存在於目前的內容中	AnimeFolderOrganizer	F:\Android\WPF\AnimeFolderOrganizer\ViewModels\MainViewModel.cs	304	
錯誤 (作用中)	CS0117	'AnimeFolderInfo' 未包含 'IsRenamed' 的定義	AnimeFolderOrganizer	F:\Android\WPF\AnimeFolderOrganizer\ViewModels\MainViewModel.cs	305	
錯誤 (作用中)	CS0117	'AnimeFolderInfo' 未包含 'AnalyzedTitle' 的定義	AnimeFolderOrganizer	F:\Android\WPF\AnimeFolderOrganizer\ViewModels\MainViewModel.cs	306	
錯誤 (作用中)	CS0117	'AnimeFolderInfo' 未包含 'SelectedTitle' 的定義	AnimeFolderOrganizer	F:\Android\WPF\AnimeFolderOrganizer\ViewModels\MainViewModel.cs	307	
錯誤 (作用中)	CS1503	引數 1: 無法從 '(AnimeFolderOrganizer.Models.AnimeFolderInfo, var)' 轉換成 '(AnimeFolderOrganizer.Models.AnimeFolderInfo Info, System.IO.DirectoryInfo Dir)'	AnimeFolderOrganizer	F:\Android\WPF\AnimeFolderOrganizer\ViewModels\MainViewModel.cs	318	
錯誤 (作用中)	CS1061	'AnimeFolderInfo' 未包含 'VerificationStatus' 的定義，也找不到可接受類型 'AnimeFolderInfo' 第一個引數的可存取擴充方法 'VerificationStatus' (是否遺漏 using 指示詞或組件參考?)	AnimeFolderOrganizer	F:\Android\WPF\AnimeFolderOrganizer\ViewModels\MainViewModel.cs	342	
錯誤 (作用中)	CS1061	'AnimeFolderInfo' 未包含 'VerificationStatus' 的定義，也找不到可接受類型 'AnimeFolderInfo' 第一個引數的可存取擴充方法 'VerificationStatus' (是否遺漏 using 指示詞或組件參考?)	AnimeFolderOrganizer	F:\Android\WPF\AnimeFolderOrganizer\ViewModels\MainViewModel.cs	357	
錯誤 (作用中)	CS1061	'AnimeFolderInfo' 未包含 'AnalyzedTitle' 的定義，也找不到可接受類型 'AnimeFolderInfo' 第一個引數的可存取擴充方法 'AnalyzedTitle' (是否遺漏 using 指示詞或組件參考?)	AnimeFolderOrganizer	F:\Android\WPF\AnimeFolderOrganizer\ViewModels\MainViewModel.cs	359	
錯誤 (作用中)	CS0103	名稱 'ScanProgress' 不存在於目前的內容中	AnimeFolderOrganizer	F:\Android\WPF\AnimeFolderOrganizer\ViewModels\MainViewModel.cs	368	
錯誤 (作用中)	CS0103	名稱 'ScanProgressText' 不存在於目前的內容中	AnimeFolderOrganizer	F:\Android\WPF\AnimeFolderOrganizer\ViewModels\MainViewModel.cs	369	
錯誤 (作用中)	CS0103	名稱 'StatusMessage' 不存在於目前的內容中	AnimeFolderOrganizer	F:\Android\WPF\AnimeFolderOrganizer\ViewModels\MainViewModel.cs	370	
錯誤 (作用中)	CS0103	名稱 'StatusMessage' 不存在於目前的內容中	AnimeFolderOrganizer	F:\Android\WPF\AnimeFolderOrganizer\ViewModels\MainViewModel.cs	373	
錯誤 (作用中)	CS0103	名稱 'StatusMessage' 不存在於目前的內容中	AnimeFolderOrganizer	F:\Android\WPF\AnimeFolderOrganizer\ViewModels\MainViewModel.cs	377	
錯誤 (作用中)	CS0103	名稱 'IsBusy' 不存在於目前的內容中	AnimeFolderOrganizer	F:\Android\WPF\AnimeFolderOrganizer\ViewModels\MainViewModel.cs	382	
錯誤 (作用中)	CS0246	找不到類型或命名空間名稱 'RelayCommandAttribute' (是否遺漏了 using 指示詞或組件參考?)	AnimeFolderOrganizer	F:\Android\WPF\AnimeFolderOrganizer\ViewModels\MainViewModel.cs	410	
錯誤 (作用中)	CS0246	找不到類型或命名空間名稱 'RelayCommand' (是否遺漏了 using 指示詞或組件參考?)	AnimeFolderOrganizer	F:\Android\WPF\AnimeFolderOrganizer\ViewModels\MainViewModel.cs	410	
錯誤 (作用中)	CS0103	名稱 'StatusMessage' 不存在於目前的內容中	AnimeFolderOrganizer	F:\Android\WPF\AnimeFolderOrganizer\ViewModels\MainViewModel.cs	416	
錯誤 (作用中)	CS0103	名稱 'IsBusy' 不存在於目前的內容中	AnimeFolderOrganizer	F:\Android\WPF\AnimeFolderOrganizer\ViewModels\MainViewModel.cs	422	
錯誤 (作用中)	CS0103	名稱 'StatusMessage' 不存在於目前的內容中	AnimeFolderOrganizer	F:\Android\WPF\AnimeFolderOrganizer\ViewModels\MainViewModel.cs	423	
錯誤 (作用中)	CS0103	名稱 'StatusMessage' 不存在於目前的內容中	AnimeFolderOrganizer	F:\Android\WPF\AnimeFolderOrganizer\ViewModels\MainViewModel.cs	444	
錯誤 (作用中)	CS0103	名稱 'StatusMessage' 不存在於目前的內容中	AnimeFolderOrganizer	F:\Android\WPF\AnimeFolderOrganizer\ViewModels\MainViewModel.cs	448	
錯誤 (作用中)	CS0103	名稱 'StatusMessage' 不存在於目前的內容中	AnimeFolderOrganizer	F:\Android\WPF\AnimeFolderOrganizer\ViewModels\MainViewModel.cs	452	
錯誤 (作用中)	CS0103	名稱 'IsBusy' 不存在於目前的內容中	AnimeFolderOrganizer	F:\Android\WPF\AnimeFolderOrganizer\ViewModels\MainViewModel.cs	456	
錯誤 (作用中)	CS0246	找不到類型或命名空間名稱 'RelayCommandAttribute' (是否遺漏了 using 指示詞或組件參考?)	AnimeFolderOrganizer	F:\Android\WPF\AnimeFolderOrganizer\ViewModels\MainViewModel.cs	460	
錯誤 (作用中)	CS0246	找不到類型或命名空間名稱 'RelayCommand' (是否遺漏了 using 指示詞或組件參考?)	AnimeFolderOrganizer	F:\Android\WPF\AnimeFolderOrganizer\ViewModels\MainViewModel.cs	460	
錯誤 (作用中)	CS0103	名稱 'StatusMessage' 不存在於目前的內容中	AnimeFolderOrganizer	F:\Android\WPF\AnimeFolderOrganizer\ViewModels\MainViewModel.cs	466	
錯誤 (作用中)	CS0103	名稱 'IsBusy' 不存在於目前的內容中	AnimeFolderOrganizer	F:\Android\WPF\AnimeFolderOrganizer\ViewModels\MainViewModel.cs	472	
錯誤 (作用中)	CS0103	名稱 'StatusMessage' 不存在於目前的內容中	AnimeFolderOrganizer	F:\Android\WPF\AnimeFolderOrganizer\ViewModels\MainViewModel.cs	473	
錯誤 (作用中)	CS0103	名稱 'StatusMessage' 不存在於目前的內容中	AnimeFolderOrganizer	F:\Android\WPF\AnimeFolderOrganizer\ViewModels\MainViewModel.cs	494	
錯誤 (作用中)	CS0103	名稱 'StatusMessage' 不存在於目前的內容中	AnimeFolderOrganizer	F:\Android\WPF\AnimeFolderOrganizer\ViewModels\MainViewModel.cs	498	
錯誤 (作用中)	CS0103	名稱 'StatusMessage' 不存在於目前的內容中	AnimeFolderOrganizer	F:\Android\WPF\AnimeFolderOrganizer\ViewModels\MainViewModel.cs	502	
錯誤 (作用中)	CS0103	名稱 'IsBusy' 不存在於目前的內容中	AnimeFolderOrganizer	F:\Android\WPF\AnimeFolderOrganizer\ViewModels\MainViewModel.cs	506	
錯誤 (作用中)	CS0246	找不到類型或命名空間名稱 'RelayCommandAttribute' (是否遺漏了 using 指示詞或組件參考?)	AnimeFolderOrganizer	F:\Android\WPF\AnimeFolderOrganizer\ViewModels\MainViewModel.cs	510	
錯誤 (作用中)	CS0246	找不到類型或命名空間名稱 'RelayCommand' (是否遺漏了 using 指示詞或組件參考?)	AnimeFolderOrganizer	F:\Android\WPF\AnimeFolderOrganizer\ViewModels\MainViewModel.cs	510	
錯誤 (作用中)	CS0103	名稱 'StatusMessage' 不存在於目前的內容中	AnimeFolderOrganizer	F:\Android\WPF\AnimeFolderOrganizer\ViewModels\MainViewModel.cs	516	
錯誤 (作用中)	CS0103	名稱 'StatusMessage' 不存在於目前的內容中	AnimeFolderOrganizer	F:\Android\WPF\AnimeFolderOrganizer\ViewModels\MainViewModel.cs	523	
錯誤 (作用中)	CS0103	名稱 'StatusMessage' 不存在於目前的內容中	AnimeFolderOrganizer	F:\Android\WPF\AnimeFolderOrganizer\ViewModels\MainViewModel.cs	530	
錯誤 (作用中)	CS0103	名稱 'IsBusy' 不存在於目前的內容中	AnimeFolderOrganizer	F:\Android\WPF\AnimeFolderOrganizer\ViewModels\MainViewModel.cs	536	
錯誤 (作用中)	CS0103	名稱 'StatusMessage' 不存在於目前的內容中	AnimeFolderOrganizer	F:\Android\WPF\AnimeFolderOrganizer\ViewModels\MainViewModel.cs	546	
錯誤 (作用中)	CS0103	名稱 'StatusMessage' 不存在於目前的內容中	AnimeFolderOrganizer	F:\Android\WPF\AnimeFolderOrganizer\ViewModels\MainViewModel.cs	553	
錯誤 (作用中)	CS0103	名稱 'StatusMessage' 不存在於目前的內容中	AnimeFolderOrganizer	F:\Android\WPF\AnimeFolderOrganizer\ViewModels\MainViewModel.cs	560	
錯誤 (作用中)	CS0103	名稱 'StatusMessage' 不存在於目前的內容中	AnimeFolderOrganizer	F:\Android\WPF\AnimeFolderOrganizer\ViewModels\MainViewModel.cs	563	
錯誤 (作用中)	CS0103	名稱 'StatusMessage' 不存在於目前的內容中	AnimeFolderOrganizer	F:\Android\WPF\AnimeFolderOrganizer\ViewModels\MainViewModel.cs	568	
錯誤 (作用中)	CS0103	名稱 'IsBusy' 不存在於目前的內容中	AnimeFolderOrganizer	F:\Android\WPF\AnimeFolderOrganizer\ViewModels\MainViewModel.cs	572	
錯誤 (作用中)	CS0246	找不到類型或命名空間名稱 'RelayCommandAttribute' (是否遺漏了 using 指示詞或組件參考?)	AnimeFolderOrganizer	F:\Android\WPF\AnimeFolderOrganizer\ViewModels\MainViewModel.cs	576	
錯誤 (作用中)	CS0246	找不到類型或命名空間名稱 'RelayCommand' (是否遺漏了 using 指示詞或組件參考?)	AnimeFolderOrganizer	F:\Android\WPF\AnimeFolderOrganizer\ViewModels\MainViewModel.cs	576	
錯誤 (作用中)	CS0103	名稱 'StatusMessage' 不存在於目前的內容中	AnimeFolderOrganizer	F:\Android\WPF\AnimeFolderOrganizer\ViewModels\MainViewModel.cs	582	
錯誤 (作用中)	CS0103	名稱 'StatusMessage' 不存在於目前的內容中	AnimeFolderOrganizer	F:\Android\WPF\AnimeFolderOrganizer\ViewModels\MainViewModel.cs	588	
錯誤 (作用中)	CS0103	名稱 'StatusMessage' 不存在於目前的內容中	AnimeFolderOrganizer	F:\Android\WPF\AnimeFolderOrganizer\ViewModels\MainViewModel.cs	595	
錯誤 (作用中)	CS0103	名稱 'StatusMessage' 不存在於目前的內容中	AnimeFolderOrganizer	F:\Android\WPF\AnimeFolderOrganizer\ViewModels\MainViewModel.cs	606	
錯誤 (作用中)	CS0103	名稱 'StatusMessage' 不存在於目前的內容中	AnimeFolderOrganizer	F:\Android\WPF\AnimeFolderOrganizer\ViewModels\MainViewModel.cs	613	
錯誤 (作用中)	CS0103	名稱 'IsBusy' 不存在於目前的內容中	AnimeFolderOrganizer	F:\Android\WPF\AnimeFolderOrganizer\ViewModels\MainViewModel.cs	619	
錯誤 (作用中)	CS0103	名稱 'StatusMessage' 不存在於目前的內容中	AnimeFolderOrganizer	F:\Android\WPF\AnimeFolderOrganizer\ViewModels\MainViewModel.cs	620	
錯誤 (作用中)	CS0103	名稱 'StatusMessage' 不存在於目前的內容中	AnimeFolderOrganizer	F:\Android\WPF\AnimeFolderOrganizer\ViewModels\MainViewModel.cs	631	
錯誤 (作用中)	CS0103	名稱 'StatusMessage' 不存在於目前的內容中	AnimeFolderOrganizer	F:\Android\WPF\AnimeFolderOrganizer\ViewModels\MainViewModel.cs	635	
錯誤 (作用中)	CS0103	名稱 'StatusMessage' 不存在於目前的內容中	AnimeFolderOrganizer	F:\Android\WPF\AnimeFolderOrganizer\ViewModels\MainViewModel.cs	640	
錯誤 (作用中)	CS0103	名稱 'IsBusy' 不存在於目前的內容中	AnimeFolderOrganizer	F:\Android\WPF\AnimeFolderOrganizer\ViewModels\MainViewModel.cs	644	
錯誤 (作用中)	CS0246	找不到類型或命名空間名稱 'RelayCommandAttribute' (是否遺漏了 using 指示詞或組件參考?)	AnimeFolderOrganizer	F:\Android\WPF\AnimeFolderOrganizer\ViewModels\MainViewModel.cs	650	
錯誤 (作用中)	CS0246	找不到類型或命名空間名稱 'RelayCommand' (是否遺漏了 using 指示詞或組件參考?)	AnimeFolderOrganizer	F:\Android\WPF\AnimeFolderOrganizer\ViewModels\MainViewModel.cs	650	
錯誤 (作用中)	CS0103	名稱 'IsBusy' 不存在於目前的內容中	AnimeFolderOrganizer	F:\Android\WPF\AnimeFolderOrganizer\ViewModels\MainViewModel.cs	655	
錯誤 (作用中)	CS0103	名稱 'StatusMessage' 不存在於目前的內容中	AnimeFolderOrganizer	F:\Android\WPF\AnimeFolderOrganizer\ViewModels\MainViewModel.cs	656	
錯誤 (作用中)	CS0103	名稱 'RenameStatusMessage' 不存在於目前的內容中	AnimeFolderOrganizer	F:\Android\WPF\AnimeFolderOrganizer\ViewModels\MainViewModel.cs	657	
錯誤 (作用中)	CS0103	名稱 'RenameProgress' 不存在於目前的內容中	AnimeFolderOrganizer	F:\Android\WPF\AnimeFolderOrganizer\ViewModels\MainViewModel.cs	665	
錯誤 (作用中)	CS0103	名稱 'RenameProgressText' 不存在於目前的內容中	AnimeFolderOrganizer	F:\Android\WPF\AnimeFolderOrganizer\ViewModels\MainViewModel.cs	666	
錯誤 (作用中)	CS0103	名稱 'RenameProgress' 不存在於目前的內容中	AnimeFolderOrganizer	F:\Android\WPF\AnimeFolderOrganizer\ViewModels\MainViewModel.cs	671	
錯誤 (作用中)	CS0103	名稱 'RenameProgressText' 不存在於目前的內容中	AnimeFolderOrganizer	F:\Android\WPF\AnimeFolderOrganizer\ViewModels\MainViewModel.cs	672	
錯誤 (作用中)	CS1061	'AnimeFolderInfo' 未包含 'IsIdentified' 的定義，也找不到可接受類型 'AnimeFolderInfo' 第一個引數的可存取擴充方法 'IsIdentified' (是否遺漏 using 指示詞或組件參考?)	AnimeFolderOrganizer	F:\Android\WPF\AnimeFolderOrganizer\ViewModels\MainViewModel.cs	674	
錯誤 (作用中)	CS1061	'AnimeFolderInfo' 未包含 'SelectedTitle' 的定義，也找不到可接受類型 'AnimeFolderInfo' 第一個引數的可存取擴充方法 'SelectedTitle' (是否遺漏 using 指示詞或組件參考?)	AnimeFolderOrganizer	F:\Android\WPF\AnimeFolderOrganizer\ViewModels\MainViewModel.cs	676	
錯誤 (作用中)	CS1061	'AnimeFolderInfo' 未包含 'MetadataId' 的定義，也找不到可接受類型 'AnimeFolderInfo' 第一個引數的可存取擴充方法 'MetadataId' (是否遺漏 using 指示詞或組件參考?)	AnimeFolderOrganizer	F:\Android\WPF\AnimeFolderOrganizer\ViewModels\MainViewModel.cs	677	
錯誤 (作用中)	CS0103	名稱 'NamingFormat' 不存在於目前的內容中	AnimeFolderOrganizer	F:\Android\WPF\AnimeFolderOrganizer\ViewModels\MainViewModel.cs	680	
錯誤 (作用中)	CS1061	'AnimeFolderInfo' 未包含 'IsRenamed' 的定義，也找不到可接受類型 'AnimeFolderInfo' 第一個引數的可存取擴充方法 'IsRenamed' (是否遺漏 using 指示詞或組件參考?)	AnimeFolderOrganizer	F:\Android\WPF\AnimeFolderOrganizer\ViewModels\MainViewModel.cs	732	
錯誤 (作用中)	CS0103	名稱 'StatusMessage' 不存在於目前的內容中	AnimeFolderOrganizer	F:\Android\WPF\AnimeFolderOrganizer\ViewModels\MainViewModel.cs	746	
錯誤 (作用中)	CS0103	名稱 'RenameStatusMessage' 不存在於目前的內容中	AnimeFolderOrganizer	F:\Android\WPF\AnimeFolderOrganizer\ViewModels\MainViewModel.cs	749	
錯誤 (作用中)	CS0103	名稱 'StatusMessage' 不存在於目前的內容中	AnimeFolderOrganizer	F:\Android\WPF\AnimeFolderOrganizer\ViewModels\MainViewModel.cs	759	
錯誤 (作用中)	CS0103	名稱 'IsBusy' 不存在於目前的內容中	AnimeFolderOrganizer	F:\Android\WPF\AnimeFolderOrganizer\ViewModels\MainViewModel.cs	763	
