嚴重性	程式碼	說明	專案	檔案	行	歸併狀態
錯誤 (作用中)	CS0246	找不到類型或命名空間名稱 'ObservableProperty' (是否遺漏了 using 指示詞或組件參考?)	AnimeFolderOrganizer	F:\Android\WPF\AnimeFolderOrganizer\ViewModels\MainViewModel.cs	86	
錯誤 (作用中)	CS0246	找不到類型或命名空間名稱 'ObservablePropertyAttribute' (是否遺漏了 using 指示詞或組件參考?)	AnimeFolderOrganizer	F:\Android\WPF\AnimeFolderOrganizer\ViewModels\MainViewModel.cs	89	
錯誤 (作用中)	CS0246	找不到類型或命名空間名稱 'ObservableProperty' (是否遺漏了 using 指示詞或組件參考?)	AnimeFolderOrganizer	F:\Android\WPF\AnimeFolderOrganizer\ViewModels\MainViewModel.cs	89	
錯誤 (作用中)	CS0246	找不到類型或命名空間名稱 'ObservablePropertyAttribute' (是否遺漏了 using 指示詞或組件參考?)	AnimeFolderOrganizer	F:\Android\WPF\AnimeFolderOrganizer\ViewModels\MainViewModel.cs	92	
錯誤 (作用中)	CS0246	找不到類型或命名空間名稱 'ObservableProperty' (是否遺漏了 using 指示詞或組件參考?)	AnimeFolderOrganizer	F:\Android\WPF\AnimeFolderOrganizer\ViewModels\MainViewModel.cs	92	
錯誤 (作用中)	CS0246	找不到類型或命名空間名稱 'ObservablePropertyAttribute' (是否遺漏了 using 指示詞或組件參考?)	AnimeFolderOrganizer	F:\Android\WPF\AnimeFolderOrganizer\ViewModels\MainViewModel.cs	95	
錯誤 (作用中)	CS0246	找不到類型或命名空間名稱 'ObservableProperty' (是否遺漏了 using 指示詞或組件參考?)	AnimeFolderOrganizer	F:\Android\WPF\AnimeFolderOrganizer\ViewModels\MainViewModel.cs	95	
錯誤 (作用中)	CS0246	找不到類型或命名空間名稱 'NotifyCanExecuteChangedForAttribute' (是否遺漏了 using 指示詞或組件參考?)	AnimeFolderOrganizer	F:\Android\WPF\AnimeFolderOrganizer\ViewModels\MainViewModel.cs	96	
錯誤 (作用中)	CS0246	找不到類型或命名空間名稱 'NotifyCanExecuteChangedFor' (是否遺漏了 using 指示詞或組件參考?)	AnimeFolderOrganizer	F:\Android\WPF\AnimeFolderOrganizer\ViewModels\MainViewModel.cs	96	
錯誤 (作用中)	CS0103	名稱 'SelectFolderCommand' 不存在於目前的內容中	AnimeFolderOrganizer	F:\Android\WPF\AnimeFolderOrganizer\ViewModels\MainViewModel.cs	96	
錯誤 (作用中)	CS0246	找不到類型或命名空間名稱 'NotifyCanExecuteChangedForAttribute' (是否遺漏了 using 指示詞或組件參考?)	AnimeFolderOrganizer	F:\Android\WPF\AnimeFolderOrganizer\ViewModels\MainViewModel.cs	97	
